アザミ 浅见
アヤメ 菖蒲
コクリコ 雏芥子
カホー 果穗
ワイルドハント 狂猎
察監隊 舍监队
お祭り運営委員会 庆典运营管理部
下回 下一话
シュロ 棕榈
フィーナ 菲娜
ツバキ 椿
スズミ 铃美
ハスミ 莲见
ヒフミ 日富美
ツルギ 鹤城
ムツキ 睦月
カヨコ 佳代子
アル 爱露
ハルカ 春香
ノノミ 野宫
ジュンコ 纯子
ヒナ 日奈
シロコ 白子
セリカ 芹香
イズミ 泉
ホシノ 星野
アスナ 明日奈
ユウカ 优香
アカネ 茜
エイミ 艾米
ネル 妮露
モモイ 桃
ミドリ 绿
アリス 爱丽丝
ハナエ 花江
マシロ 真白
チナツ 千夏
フウカ 枫香
ジュリ 朱莉
ハレ 晴
コタマ 小玉
カリン 花凛
サヤ 纱绫
シミコ 志美子
セリナ 芹娜
アイリ 爱理
ヨシミ 好美
イオリ 伊织
アカリ 明里
ハルナ 晴奈
スミレ 堇
マキ 真纪
ヒビキ 响
ウタハ 歌原
コトリ 琴里
チセ 千世
シュン 瞬
アヤネ 绫音
イズナ 泉奈
シズコ 静子
チェリノ 切里诺
ノドカ 和香
ユズ 柚子
アズサ 梓
コハル 小春
ハナコ 花子
キリノ 桐乃
ナツ 夏
マリー 玛丽
ミク 未来
アコ 亚子
トモエ 巴
ワカモ 若藻
セナ 濑名
チヒロ 千寻
フブキ 吹雪
ミモリ 三森
ウイ 忧
ヒナタ 日向
マリナ 真里奈
ミヤコ 宫子
サキ 咲
ミユ 美游
カエデ 枫
イロハ 伊吕波
ミチル 满
ツクヨ 月咏
ミサキ 美咲
ヒヨリ 日和
アツコ 亚津子
サオリ 纱织
モエ 萌绘
カズサ 和纱
ココナ 心奈
ノア 诺亚
ヒマリ 日鞠
シグレ 时雨
ミネ 美祢
ミカ 未花
メグ 惠
カンナ 康娜
サクラコ 樱子
トキ 时
ナギサ 渚
コユキ 小雪
カホ 果穗
レイサ 玲纱
ルミ 瑠海
ミナ 南
ミノリ 实梨
メル 芽瑠
モミジ 红叶
コトリ 琴里
イチカ 一花
カスミ 霞
涙子 泪子
ユカリ 紫
レンゲ 莲华
キキョウ 桔梗
マコト 真琴
イブキ 伊吹
ウミカ 海夏
キララ 绮罗罗
レイジョ 丽情
キサキ 妃咲
サツキ 皋月
チアキ 千秋
セイア 圣娅
リオ 莉音
セナ 濑名
レイ 丽
ヒカリ 光
ノゾミ 望
アオバ 青叶
ナグサ 名草
ニヤ 妮娅
エリ 绘里
カノエ 鹿江
マイア 玛娅
スバル 昴
フユ 冬
ミヨ 美代
リツ 律
デカグラマトン 十字神名
こちらの生徒さんを受け入れることができます。 可招募该学员。
の神秘が詰まった神名文字。 的神名文字，蕴含着xx的神秘。（xx为人名）
との思い出でロビーを飾ることができます。 可以用xx的回忆装饰大厅。（xx为人名）
シャーレ 夏莱
ストライカー 突击
スペシャル 支援
個性豊かな生徒たちを募集しましょう！ 来招募更多个性迥异的学生吧！
通常募集 长期招募（如果只有通常两字，则也翻译为长期招募）
10回募集では、★2以上の生徒が1人確定！※すでに受入れ済みの生徒の場合は、神名のカケラと該当生徒の神名文字を獲得できます。 进行10次招募，必定获得1名★2以上学生！\n※若已拥有该学生，则可获得神名精髓及对应学生的神名文字。
限定ピックアップ募集１ 限定限时招募１
限定１\nピックアップ 限定限时招募１
限定ピックアップ募集２ 限定限时招募２
限定２\nピックアップ 限定限时招募２
「限定」★３xxも募集が可能です！ 还可招募「限定」★３xx！（如前面没有限定则去除，xx是人名）
限定★3確定 限定★3确定
限定★3生徒確定募集 限定★3学生确定招募
